[0.006s][info][gc] Using Parallel
[0.006s][info][gc,heap,coops] Heap address: 0x0000000740000000, size: 3072 MB, Compressed Oops mode: Zero based, Oop shift amount: 3
[0.044s][info][safepoint    ] Entering safepoint region: EnableBiasedLocking
[0.045s][info][safepoint    ] Leaving safepoint region
[0.045s][info][safepoint    ] Total time for which application threads were stopped: 0.0001191 seconds, Stopping threads took: 0.0000391 seconds
[0.046s][info][safepoint    ] Application time: 0.0013445 seconds
[0.046s][info][safepoint    ] Entering safepoint region: RevokeBias
[0.046s][info][safepoint    ] Leaving safepoint region
[0.046s][info][safepoint    ] Total time for which application threads were stopped: 0.0000981 seconds, Stopping threads took: 0.0000433 seconds
[0.132s][info][safepoint    ] Application time: 0.0860388 seconds
[0.132s][info][safepoint    ] Entering safepoint region: Deoptimize
[0.132s][info][safepoint    ] Leaving safepoint region
[0.132s][info][safepoint    ] Total time for which application threads were stopped: 0.0000608 seconds, Stopping threads took: 0.0000081 seconds
[0.341s][info][safepoint    ] Application time: 0.2086466 seconds
[0.341s][info][safepoint    ] Entering safepoint region: Deoptimize
[0.341s][info][safepoint    ] Leaving safepoint region
[0.341s][info][safepoint    ] Total time for which application threads were stopped: 0.0001463 seconds, Stopping threads took: 0.0000083 seconds
[0.379s][info][safepoint    ] Application time: 0.0381062 seconds
[0.379s][info][safepoint    ] Entering safepoint region: Deoptimize
[0.379s][info][safepoint    ] Leaving safepoint region
[0.379s][info][safepoint    ] Total time for which application threads were stopped: 0.0001190 seconds, Stopping threads took: 0.0000100 seconds
[1.360s][info][safepoint    ] Application time: 0.9805503 seconds
[1.360s][info][safepoint    ] Entering safepoint region: Deoptimize
[1.360s][info][safepoint    ] Leaving safepoint region
[1.360s][info][safepoint    ] Total time for which application threads were stopped: 0.0001679 seconds, Stopping threads took: 0.0000076 seconds
[1.518s][info][safepoint    ] Application time: 0.1574410 seconds
[1.518s][info][safepoint    ] Entering safepoint region: Deoptimize
[1.518s][info][safepoint    ] Leaving safepoint region
[1.518s][info][safepoint    ] Total time for which application threads were stopped: 0.0002585 seconds, Stopping threads took: 0.0000078 seconds
[1.895s][info][safepoint    ] Application time: 0.3766285 seconds
[1.895s][info][safepoint    ] Entering safepoint region: ICBufferFull
[1.895s][info][safepoint    ] Leaving safepoint region
[1.895s][info][safepoint    ] Total time for which application threads were stopped: 0.0001268 seconds, Stopping threads took: 0.0000079 seconds
[2.018s][info][safepoint    ] Application time: 0.1232739 seconds
[2.018s][info][safepoint    ] Entering safepoint region: ICBufferFull
[2.018s][info][safepoint    ] Leaving safepoint region
[2.018s][info][safepoint    ] Total time for which application threads were stopped: 0.0001286 seconds, Stopping threads took: 0.0000078 seconds
[2.153s][info][safepoint    ] Application time: 0.1349018 seconds
[2.153s][info][safepoint    ] Entering safepoint region: ICBufferFull
[2.153s][info][safepoint    ] Leaving safepoint region
[2.153s][info][safepoint    ] Total time for which application threads were stopped: 0.0001773 seconds, Stopping threads took: 0.0000127 seconds
[2.477s][info][safepoint    ] Application time: 0.3237787 seconds
[2.477s][info][safepoint    ] Entering safepoint region: ICBufferFull
[2.477s][info][safepoint    ] Leaving safepoint region
[2.477s][info][safepoint    ] Total time for which application threads were stopped: 0.0001532 seconds, Stopping threads took: 0.0000079 seconds
[2.949s][info][safepoint    ] Application time: 0.4713380 seconds
[2.949s][info][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[2.949s][info][gc,start     ] GC(0) Pause Young (Metadata GC Threshold)
[2.982s][debug][gc,phases    ] GC(0) Scavenge 33.175ms
[2.982s][debug][gc,ref       ] GC(0) Skipped phase1 of Reference Processing due to unavailable references
[2.982s][debug][gc,ref       ] GC(0) Skipped phase3 of Reference Processing due to unavailable references
[2.982s][debug][gc,phases    ] GC(0) Reference Processing 0.246ms
[2.982s][debug][gc,phases    ] GC(0) Weak Processing 0.090ms
[2.983s][debug][gc,phases    ] GC(0) Scrub String Table 0.547ms
[2.983s][debug][gc,age       ] GC(0) Desired survivor size 536870912 bytes, new threshold 7 (max threshold 15)
[2.983s][info ][gc,heap      ] GC(0) PSYoungGen: 377488K->35465K(1572864K)
[2.983s][info ][gc,heap      ] GC(0) ParOldGen: 0K->88K(6144K)
[2.983s][info ][gc,metaspace ] GC(0) Metaspace: 20364K->20364K(1067008K)
[2.983s][info ][gc           ] GC(0) Pause Young (Metadata GC Threshold) 368M->34M(1542M) 34.214ms
[2.983s][info ][gc,cpu       ] GC(0) User=0.11s Sys=0.02s Real=0.03s
[2.983s][debug][gc,phases    ] GC(1) Pre Compact 0.017ms
[2.983s][info ][gc,start     ] GC(1) Pause Full (Metadata GC Threshold)
[2.983s][info ][gc,phases,start] GC(1) Marking Phase
[3.005s][debug][gc,phases      ] GC(1) Par Mark 21.894ms
[3.005s][debug][gc,ref         ] GC(1) Skipped phase1 of Reference Processing due to unavailable references
[3.005s][debug][gc,ref         ] GC(1) Skipped phase3 of Reference Processing due to unavailable references
[3.005s][debug][gc,phases      ] GC(1) Reference Processing 0.081ms
[3.005s][debug][gc,phases      ] GC(1) Weak Processing 0.040ms
[3.006s][debug][gc,phases      ] GC(1) ClassLoaderData 0.663ms
[3.006s][debug][gc,phases      ] GC(1) ProtectionDomainCacheTable 0.007ms
[3.006s][debug][gc,phases      ] GC(1) ResolvedMethodTable 0.033ms
